,CodProduto,CodCor,CodTamanho,CodEstado,DataVenda,Vendedor,QtdeVendida,NomeEstado,Sigla,Capital,PercImposto,CodRegiao,CodVend,NomeVendedor,DescricaoCor,NomeRegiao,DescricaoTamanho,idProduto,DescricaoProduto,CodGrupo,CodDepto,PrecoUnitario,DescricaoGrupo,DescricaoDepto
0,2909,7,1,22,2019-05-02,4,33,Rondônia,RO,Porto Velho,"0,130",2,4,Patricia,Cinza,Norte,Pequeno,2909,PRODUTO que contem código 2909,8,6,457,Grupo 8,Utensílios Domésticos
1,2909,5,1,2,2021-10-30,1,155,Alagoas,AL,Maceió,"0,090",1,1,Marcelo,Preto,Nordeste,Pequeno,2909,PRODUTO que contem código 2909,8,6,457,Grupo 8,Utensílios Domésticos
2,2909,4,2,3,2021-12-22,5,137,Amapá,AP,Macapá,"0,130",2,5,Igor,Vermelho,Norte,Médio,2909,PRODUTO que contem código 2909,8,6,457,Grupo 8,Utensílios Domésticos
3,2909,7,3,21,2021-09-07,1,132,Rio Grande do Sul,RS,Porto Alegre,"0,170",5,1,Marcelo,Cinza,Sul,Grande,2909,PRODUTO que contem código 2909,8,6,457,Grupo 8,Utensílios Domésticos
4,2909,7,4,4,2021-04-14,5,91,Amazonas,AM,Manaus,"0,080",2,5,Igor,Cinza,Norte,Extra Grande,2909,PRODUTO que contem código 2909,8,6,457,Grupo 8,Utensílios Domésticos
5,2909,4,4,22,2021-07-09,4,196,Rondônia,RO,Porto Velho,"0,130",2,4,Patricia,Vermelho,Norte,Extra Grande,2909,PRODUTO que contem código 2909,8,6,457,Grupo 8,Utensílios Domésticos
6,2909,6,4,1,2020-02-22,5,159,Acre,AC,Rio Branco,"0,120",2,5,Igor,Branco,Norte,Extra Grande,2909,PRODUTO que contem código 2909,8,6,457,Grupo 8,Utensílios Domésticos
7,2909,9,4,14,2021-01-29,2,44,Pará,PA,Belém,"0,100",2,2,João,Laranja,Norte,Extra Grande,2909,PRODUTO que contem código 2909,8,6,457,Grupo 8,Utensílios Domésticos
8,2909,3,4,21,2020-01-26,1,104,Rio Grande do Sul,RS,Porto Alegre,"0,170",5,1,Marcelo,Amarelo,Sul,Extra Grande,2909,PRODUTO que contem código 2909,8,6,457,Grupo 8,Utensílios Domésticos
9,1489,4,1,27,2021-08-01,4,97,Tocantins,TO,Palmas,"0,150",2,4,Patricia,Vermelho,Norte,Pequeno,1489,PRODUTO que contem código 1489,8,6,235,Grupo 8,Utensílios Domésticos
10,1489,4,1,7,2022-06-03,1,173,Distrito Federal,DF,Brasília,"0,120",3,1,Marcelo,Vermelho,Centro Oeste,Pequeno,1489,PRODUTO que contem código 1489,8,6,235,Grupo 8,Utensílios Domésticos
11,1489,9,1,19,2019-10-24,2,130,Rio de Janeiro,RJ,Rio de Janeiro,"0,140",4,2,João,Laranja,Sudeste,Pequeno,1489,PRODUTO que contem código 1489,8,6,235,Grupo 8,Utensílios Domésticos
12,1489,2,3,20,2021-11-28,1,64,Rio Grande do Norte,RN,Natal,"0,110",1,1,Marcelo,Verde,Nordeste,Grande,1489,PRODUTO que contem código 1489,8,6,235,Grupo 8,Utensílios Domésticos
13,1489,3,4,23,2022-02-14,1,130,Roraima,RR,Boa Vista,"0,110",2,1,Marcelo,Amarelo,Norte,Extra Grande,1489,PRODUTO que contem código 1489,8,6,235,Grupo 8,Utensílios Domésticos
14,1489,5,4,11,2020-06-30,2,122,Mato Grosso,MT,Cuiabá,"0,170",3,2,João,Preto,Centro Oeste,Extra Grande,1489,PRODUTO que contem código 1489,8,6,235,Grupo 8,Utensílios Domésticos
15,1489,9,4,12,2021-01-03,4,3,Mato Grosso do Sul,MS,Campo Grande,"0,180",3,4,Patricia,Laranja,Centro Oeste,Extra Grande,1489,PRODUTO que contem código 1489,8,6,235,Grupo 8,Utensílios Domésticos
16,575,8,1,14,2022-01-27,3,141,Pará,PA,Belém,"0,100",2,3,Carla,Marron,Norte,Pequeno,575,PRODUTO que contem código 575,8,6,612,Grupo 8,Utensílios Domésticos
17,575,1,1,16,2021-08-16,2,88,Paraná,PR,Curitiba,"0,090",5,2,João,Azul,Sul,Pequeno,575,PRODUTO que contem código 575,8,6,612,Grupo 8,Utensílios Domésticos
18,575,1,1,19,2021-12-08,5,196,Rio de Janeiro,RJ,Rio de Janeiro,"0,140",4,5,Igor,Azul,Sudeste,Pequeno,575,PRODUTO que contem código 575,8,6,612,Grupo 8,Utensílios Domésticos
19,575,10,2,14,2020-01-23,3,76,Pará,PA,Belém,"0,100",2,3,Carla,Transparente,Norte,Médio,575,PRODUTO que contem código 575,8,6,612,Grupo 8,Utensílios Domésticos
20,575,4,2,10,2021-10-07,2,100,Maranhão,MA,São Luís,"0,090",1,2,João,Vermelho,Nordeste,Médio,575,PRODUTO que contem código 575,8,6,612,Grupo 8,Utensílios Domésticos
21,575,6,3,12,2020-01-03,5,144,Mato Grosso do Sul,MS,Campo Grande,"0,180",3,5,Igor,Branco,Centro Oeste,Grande,575,PRODUTO que contem código 575,8,6,612,Grupo 8,Utensílios Domésticos
22,575,8,4,24,2020-02-26,1,141,Santa Catarina,SC,Florianópolis,"0,130",5,1,Marcelo,Marron,Sul,Extra Grande,575,PRODUTO que contem código 575,8,6,612,Grupo 8,Utensílios Domésticos
23,2261,2,1,1,2021-04-09,2,168,Acre,AC,Rio Branco,"0,120",2,2,João,Verde,Norte,Pequeno,2261,PRODUTO que contem código 2261,8,6,264,Grupo 8,Utensílios Domésticos
24,2261,9,1,1,2022-06-24,2,136,Acre,AC,Rio Branco,"0,120",2,2,João,Laranja,Norte,Pequeno,2261,PRODUTO que contem código 2261,8,6,264,Grupo 8,Utensílios Domésticos
25,2261,2,1,10,2020-11-23,1,109,Maranhão,MA,São Luís,"0,090",1,1,Marcelo,Verde,Nordeste,Pequeno,2261,PRODUTO que contem código 2261,8,6,264,Grupo 8,Utensílios Domésticos
26,2261,7,1,12,2021-06-24,5,15,Mato Grosso do Sul,MS,Campo Grande,"0,180",3,5,Igor,Cinza,Centro Oeste,Pequeno,2261,PRODUTO que contem código 2261,8,6,264,Grupo 8,Utensílios Domésticos
